id,类别,等级,名字,描述,基础威力,经验系数,修炼效果,运功效果,威力系数,修炼需求,攻击范围,伤害范围,使用特效,内力消耗,所属势力,使用目标,攻击架势,防御架势,召唤ID,使用次数,动作,子弹,特效,使用武器,伤害顺序,角色位移,Trail,隐藏
0,内功,0,吐纳法,呼出浊气，吸入清气，一吐一纳之间，内息造化而成,,0.9,内功1;经脉1,生命上限20;内力上限20;内功4;智力4;经脉4,,,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
1,内功,0,脉络诀,将内息在经脉中初步运行的功法，为日后的高深内功打开通路,,1,内功1;力道1,生命上限10;内力上限30;灵巧4;意志4;经脉4,,内功10,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
2,内功,0,气血功,充盈气血，强健身体之功法,,1.1,智力1;体质1,生命上限30;内力上限10;力道4;体质4;经脉4,,内功5,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
3,轻功,0,飞毛腿,源于古代递送紧急军情“羽檄”之兵士的步法,,1,灵巧1,轻功4;灵巧4;速度0.04,,,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
4,轻功,0,轻身术,每日背负沙袋行走并渐增负重，乃是最基础的轻功练习之法,,0.9,轻功1,轻功4;灵巧4;意志4,,轻功5,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
5,轻功,0,梅花桩,在布置成梅花形的木桩上修炼步法，随功力渐进，木桩也会不断增高至五尺有余,,1.1,轻功1,智力4;意志4;闪避0.04,,轻功10,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
6,绝技,0,铁布衫,基本硬功之一，修习者周身致密坚韧，能够抵御些许来袭之力道,,1,绝技1,体质4;护甲2;减伤2,,,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
7,绝技,0,千斤坠,此功法讲求全身力道向下以稳住身形，即使四五个壮汉也难以撼动,,1.1,绝技1,力道4;体质4;卸力0.04,,绝技5,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
8,绝技,0,胸口碎大石,卖艺之人最常见的把式，也蕴含着最基础的硬功法门,,0.8,意志1,生命上限8;体质4;经脉4,,绝技10,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
9,拳掌,0,太祖长拳,相传本朝太祖所创的基础拳法,10,1.1,拳掌1,,力道2;拳掌1;内力0.3,,"1,1,1","0,0,0",伤害0.04,5,-1,0,胸15,胸10,,,skill0_0,,打击5-Target-Grid-Happen,拳,Same,FALSE,0,0
