id,名字,性别,门派,武学流派,等级,实力等级,性格,资质,年龄,立场,擅长武学,擅长技艺,绝学,标签,绰号,隐藏,出师角色,关系设定,皮肤ID,特殊skeleton
1,姜.映泉,男,仙霞派,默认,掌门,-1,稳重,聪颖,38,平常/善良,内功/剑法,医术/学识,无影乱剑,领袖;御剑;内家;正直;仁慈,,0,0,朋友:2;亲属:7;仇人:65,-1,0
2,陆.仁谦,男,无,仙霞派,长老,-1,固执,平平,42,戒律/中立,绝技/拳掌/剑法,,快慢十八路,游侠;御剑;刚愎;云游,,0,1,,-7,0
3,魏.胥华,男,仙霞派,默认,亲传弟子,-1,叛逆,聪颖,27,无序/冷酷,内功/剑法/拳掌,毒术,,桀骜不驯;刚愎;勤奋;内家,,0,0,,-1,1
4,余.采薇,女,仙霞派,默认,正式弟子,-1,纯粹,究极,21,平常/冷酷,内功/轻功/剑法,学识,,武学天才;灵巧;幸运;机敏,,0,0,,-7,1
5,顾.游年,男,仙霞派,默认,正式弟子,-1,潇洒,超群,24,无序/仁慈,内功/剑法/奇门,学识/口才,,游侠;谦逊;冷静;正直,,0,0,,-6,1
6,沈.退,男,仙霞派,默认,入门弟子,-1,轻佻,聪颖,23,守序/中立,绝技/剑法/射术,口才,,游手好闲;叛逆;赌徒,,0,0,,-9,0
7,姜.婉,女,仙霞派,默认,入门弟子,-1,忠厚,平平,25,守序/善良,轻功/奇门/剑法,医术/炼药,,明眸皓齿;忠诚;仁慈;炼药,,0,0,,-6,1
8,杨.思迟,男,仙霞派,默认,外门弟子,-1,简单,愚钝,19,混乱/仁慈,绝技/拳掌/长兵,采伐/锻造,,愚钝;孜孜不倦;务农;忠心耿耿,,0,0,,-4,0
9,林.云裳,女,无,默认,外门弟子,-1,灵活,聪颖,16,守序/善良,轻功/剑法/刀法,烹饪/木植,,美貌;练武;学徒,,0,0,,-3,1
10,乐.无疾,女,长乐帮,默认,掌门,-1,轻佻,聪颖,31,戒律/凶狠,刀法/射术,口才,净乐琉璃刀,倾国倾城;运筹帷幄;舞态生风;横刀跃马;飞檐走壁;赌运亨通;善贾,金风玉露,0,0,,-99,0
11,云.彩衣,女,长乐帮,默认,副掌门,-1,固执,超群,24,平常/中立,射术,烹饪,醉梦鱼龙舞,明眸皓齿;羽衣蹁跹;耍刀;飞檐走壁;赌徒;智力,净乐琉璃,0,0,师傅:10,-99,0
12,卢.玉麟,男,长乐帮,默认,长老,-1,算计,平平,34,无序/凶狠,刀法,口才,,精明强干;舞技;横刀跃马;轻功;囤积居奇;仕官,铁算盘,0,0,,-99,0
13,唐.逸影,男,唐门,默认,掌门,-1,固执,聪颖,44,混乱/中立,射术/刀法,毒术,漫天花雨;九天罗候针,胸怀大志;例无虚发;轻功;绝艺超群;惊弓;毒术;精打细算;明察秋毫,九天鬼手,0,0,亲属:14/15,-99,0
14,唐.离,男,唐门,默认,亲传弟子,1,轻佻,平平,23,无序/凶狠,刀法,,,游手好闲;挥霍无度;射术;飞鹰走犬;放歌纵酒;嗜赌如命,,0,0,亲属:15,-99,0
15,唐.嫣然,女,唐门,默认,副掌门,-1,叛逆,超群,20,无序/善良,射术,,九天罗候针,美貌;百步穿杨;神出鬼没;身怀绝技;桀骜不驯;锐眼;摘叶飞花,杀人无形,0,0,,-99,0
16,皇甫.青衫,女,药王谷,默认,掌门,-1,忠厚,超群,22,平常/仁慈,射术/拳掌,医术,无影神针,妙手回春;医师;百步穿杨;灵丹妙药;毒术;内家;宅心仁厚;避世绝俗;刮骨疗毒,玉面医仙,0,0,亲属:17,-99,1
17,皇甫.斌,男,药王谷,默认,副掌门,-1,灵活,超群,25,无序/善良,拳掌,炼药,灵犀一指,济世神医;术精岐黄;拳掌;对症下药;毒术;内力精纯;叛逆;游侠;以毒攻毒,穿林妙手,0,0,,-99,0
18,朱.断岳,男,丐帮,默认,掌门,-1,稳重,平平,38,戒律/善良,拳掌,烹饪,降龙掌法,丑陋;浩气凛然;铁手钢拳;饕餮盛宴;内家;身怀绝技;容光焕发;行乞;掌风,铁碗残拳,0,0,结义:19,-99,0
19,徐.不平,女,丐帮,默认,副掌门,-1,简单,聪颖,40,守序/仁慈,长兵,,打狗八绝棍,公正不阿;铁手钢拳;醉生梦死;内力精纯;绝技;康健;行乞;枪芒,大醉侠,0,0,,-99,0
20,赵.破虏,男,飞龙门,默认,掌门,-1,稳重,聪颖,32,守序/中立,长兵/刀法,采伐,帝王封禅功,公正不阿;胸怀大志;一骑绝尘;枪扫六合;横刀跃马;绝艺超群;坚若磐石;身先士卒,潜龙勿用,0,0,,-99,0
21,诸葛.伶,女,飞龙门,默认,副掌门,-1,算计,超群,44,戒律/冷酷,长兵,,惊鸿一点枪,笑里藏刀;运筹帷幄;纵马驰骋;舞枪弄棍;身怀绝技;位极人臣;临危不乱,小卧龙,0,0,,-99,0
22,南宫.瑶,女,茅山派,默认,掌门,-1,潇洒,聪颖,45,戒律/善良,剑法,炼药,龙虎金丹功;玄真剑气,仙风道骨;未卜先知;剑随意动;对症下药;旁门左道;身怀绝技;淡泊,玄微法师,0,0,,-99,0
23,葛.知远,男,茅山派,默认,副掌门,-1,纯粹,超群,51,无序/冷酷,奇门,,遁甲天书,仙风道骨;相士;奇门遁甲;灵丹妙药;御剑;绝艺超群;仕官,洞真法师,0,0,,-99,0
24,欧.长兵,男,铸剑山庄,默认,掌门,-1,算计,聪颖,46,守序/冷酷,刀法,采伐,屠龙要术,千锤百炼;能工巧匠;横刀跃马;仕官;绝技;体质;囤积居奇;不择手段,铸铁仙翁,0,0,,-99,0
25,祖.心炎,女,铸剑山庄,默认,副掌门,-1,简单,超群,55,戒律/善良,剑法,锻造,赤霄斩蛇剑,鬼斧神工;能工巧匠;剑随意动;绝技;意志;通才;面目狰狞;性烈如火,百炼神剑,0,0,,-99,0
26,龙.凤娥,女,五毒教,默认,掌门,-1,叛逆,超群,22,混乱/凶狠,拳掌,毒术,万毒宝典;蚩尤鬼降,百丑千拙;拳不离手;百步穿杨;见血封喉;飞檐走壁;绝艺超群;毒手药王;灭心绝情,销魂蚀骨,0,0,亲属:27,-99,0
27,龙.凝霜,女,五毒教,默认,长老,-1,忠厚,平平,17,戒律/善良,奇门,毒术,金蚕王蛊,倾国倾城;奇门遁甲;射术;五毒俱全;飞檐走壁;绝技;百毒不侵;宅心仁厚,毒手琴心,0,0,,-99,0
28,石.崇虎,男,五毒教,默认,副掌门,-1,灵活,聪颖,36,混乱/中立,奇门,,,忠心耿耿;旁门左道;拳掌;五毒俱全;轻功;身怀绝技;食客;医师,黑爪,0,0,,-99,0
29,阎.罗王,男,阎罗殿,默认,掌门,-1,纯粹,超群,56,守序/凶狠,刀法/拳掌,采伐,万恶魔功;杀人刀法,唯我独尊;雄才伟略;公正不阿;一刀两断;拔山扛鼎;钢筋铁骨;刀枪不入;内力精纯;绝艺超群;刀锋,十殿冥主,0,0,仇人:36/39/42/120,-99,1
30,崔.命官,男,阎罗殿,默认,副掌门,-1,潇洒,聪颖,35,平常/凶狠,拳掌,,血脉逆行,军师;心狠手辣;拳不离手;横刀跃马;内家;身怀绝技;弈棋;通才,阴冥诡士,0,0,,-99,0
31,孟.婆娑,女,阎罗殿,默认,副掌门,-1,算计,超群,30,无序/冷酷,刀法,口才,,倾国倾城;笑里藏刀;耍刀;拳掌;内力精纯;神出鬼没;绝技;瑶琴,空谷幽兰,0,0,,-99,0
32,常.无黑,男,阎罗殿,默认,长老,-1,叛逆,聪颖,34,混乱/凶狠,刀法,,销魂鬼刃,性烈如火;唯命是从;横刀跃马;外门;劈荆斩棘,黑白无常,0,0,结义:33,-99,0
33,常.无白,女,阎罗殿,默认,长老,-1,轻佻,聪颖,28,无序/中立,拳掌,,九死离魂掌,气定神闲;戒备森严;拳不离手;内家;精耕细作,黑白无常,0,0,,-99,0
34,牛.头,男,阎罗殿,默认,长老,-1,简单,愚钝,29,平常/凶狠,拳掌,,神倒鬼跌拳,离经叛道;奋勇当先;拳不离手;绝技;农家,,0,0,结义:35,-99,0
35,马.面,男,阎罗殿,默认,长老,-1,轻佻,平平,32,混乱/冷酷,刀法,,饮血魔刀,盛气凌人;快步流星;横刀跃马;轻功;采伐,,0,0,,-99,0
36,道.无名,男,大隐阁,默认,掌门,6,纯粹,超群,47,无序/中立,奇门,学识,归墟秘典;天人感应步;轮回不灭法;广陵散曲功;呕血坐隐功,蛰居偃伏;避世绝俗;气定神闲;铁画银钩;皓首穷经;博学多才;炉火纯青;绝艺超群;鸿儒大学;起死回生,无双国士,0,0,朋友:37,-99,1
37,思.中澜,男,大隐阁,默认,副掌门,-1,灵活,究极,28,混乱/冷酷,剑法,口才,天来剑术;归墟秘典;画龙点睛,不幸;武学天才;雄才伟略;神机妙算;炉火纯青;飞檐走壁;身怀绝技;剑随意动,天剑客,0,0,,-99,1
38,姬.清梵,女,大隐阁,默认,副掌门,-1,潇洒,超群,27,守序/仁慈,奇门,,天人感应步;春秋笔法;霓裳羽衣舞,明眸皓齿;妙至毫巅;鸾吟凤唱;内力精纯;神出鬼没;绝技;儒生;公正不阿,霓裳仙子,0,0,,-99,0
39,空闻.大师,男,少林寺,默认,掌门,-1,忠厚,聪颖,58,戒律/仁慈,拳掌,,金刚不坏神功;大力金刚掌,禅师;铁手钢拳;奇门;内力精纯;刀枪不入;身怀绝技;慈悲为怀;公正不阿;不骄不躁,德高望重,0,0,,-99,0
40,空见.大师,男,少林寺,默认,副掌门,-1,稳重,超群,66,守序/冷酷,奇门,医术,易筋经;金刚伏魔圈,禅师;奇门遁甲;奇异莫名;炉火纯青;坚若磐石;绝艺超群;浩气凛然;盛气凌人;暴躁,金身罗汉,0,0,,-99,0
41,如是.大师,男,少林寺,默认,副掌门,6,纯粹,究极,77,平常/中立,长兵,学识,洗髓经;达摩神杖,武痴;四大皆空;枪扫六合;铁手钢拳;炉火纯青;刀枪不入;绝艺超群;枪出如龙;虚怀若谷,佛痴,0,0,,-99,0
42,张.青蓬,男,武当派,默认,掌门,-1,稳重,超群,45,平常/仁慈,拳掌/剑法,学识,太极神功;太极拳法,仙风道骨;铁手钢拳;剑随意动;炉火纯青;绝艺超群;对症下药;运气自如;脉络贯通;掌风,无为真人,0,0,亲属:43,-99,0
43,张.文馨,女,武当派,默认,副掌门,-1,潇洒,究极,21,混乱/中立,剑法/拳掌,炼药,道德真经;太极剑道,武学天才;美貌;道士;剑随意动;内力精纯;身怀绝技;万木争荣;炼药;经脉,文逸真人,0,0,,-99,1
44,宋.廉庭,男,武当派,默认,副掌门,-1,固执,聪颖,41,戒律/仁慈,剑法/拳掌,,太乙神剑,道士;剑随意动;拳不离手;内力精纯;身怀绝技;经脉;公正不阿;怒发冲冠;剑气,清虚真人,0,0,,-99,0
45,项.元霸,男,霸刀门,默认,掌门,-1,固执,愚钝,28,平常/中立,刀法/长兵,烹饪,霸刀一式,拔山扛鼎;天生神力;一刀两断;刀枪不入;钢筋铁骨;痴傻蒙昧;武痴;脉络阻塞,力大无穷,0,0,,-99,0
46,宇文.极,女,霸刀门,默认,副掌门,-1,算计,超群,33,平常/凶狠,长兵/刀法,,霸王枪法,雄才伟略;精明强干;横刀跃马;位极人臣;坚若磐石;身怀绝技;排兵布阵,算无遗策,0,0,,-99,0
47,吕.寻峰,男,蓬莱派,默认,掌门,-1,灵活,超群,38,混乱/冷酷,剑法/奇门,,敲爻歌诀,胸怀大志;不择手段;剑随意动;轻功;炉火纯青;杂学;修道;气冲斗牛,都灵子,0,0,,-99,0
48,庄.晓梦,女,蓬莱派,默认,副掌门,-1,潇洒,聪颖,30,守序/善良,奇门/剑法,,铁拐化龙;五尺混天绫,游山玩水;旁门左道;神出鬼没;武学天才;内力精纯;隐士;卜算;剑气,云鹏子,0,0,,-99,0
