编号,名称,价值,影响目标,效果,同义组,反义组,可随机,展示顺序,领悟需求,替换,大类,显示箭头
0,力道,1,Self,力道潜力+5;力道+5,力道,,1,0,力道30,,武学,TRUE
1,孔武有力,2,Self,力道潜力+10;力道+10,力道,,1,0,力道60+天赋:力道,力道,武学,TRUE
2,拔山扛鼎,4,Self,力道潜力+15;力道+15,力道,,1,0,力道90+天赋:孔武有力,孔武有力,武学,FALSE
3,灵巧,1,Self,灵巧潜力+5;灵巧+5,灵巧,,1,0,灵巧30,,武学,TRUE
4,手疾眼快,2,Self,灵巧潜力+10;灵巧+10,灵巧,,1,0,灵巧60+天赋:灵巧,灵巧,武学,TRUE
5,七窍玲珑,4,Self,灵巧潜力+15;灵巧+15,灵巧,,1,0,灵巧90+天赋:手疾眼快,手疾眼快,武学,FALSE
6,智力,1,Self,智力潜力+5;智力+5,智力,,1,0,智力30,,武学,TRUE
7,足智多谋,2,Self,智力潜力+10;智力+10,智力,,1,0,智力60+天赋:智力,智力,武学,TRUE
8,聪慧绝伦,4,Self,智力潜力+15;智力+15,智力,,1,0,智力90+天赋:足智多谋,足智多谋,武学,FALSE
9,意志,1,Self,意志潜力+5;意志+5,意志,,1,0,意志30,,武学,TRUE
10,动心忍性,2,Self,意志潜力+10;意志+10,意志,,1,0,意志60+天赋:意志,意志,武学,TRUE
11,百折不挠,4,Self,意志潜力+15;意志+15,意志,,1,0,意志90+天赋:动心忍性,动心忍性,武学,FALSE
12,体质,1,Self,体质潜力+5;体质+5,体质,,1,0,体质30,,武学,TRUE
13,强身健体,2,Self,体质潜力+10;体质+10,体质,,1,0,体质60+天赋:体质,体质,武学,TRUE
14,钢筋铁骨,4,Self,体质潜力+15;体质+15,体质,,1,0,体质90+天赋:强身健体,强身健体,武学,FALSE
15,经脉,1,Self,经脉潜力+5;经脉+5,经脉,,1,0,经脉30,,武学,TRUE
16,运气自如,2,Self,经脉潜力+10;经脉+10,经脉,,1,0,经脉60+天赋:经脉,经脉,武学,TRUE
17,奇经八脉,4,Self,经脉潜力+15;经脉+15,经脉,,1,0,经脉90+天赋:运气自如,运气自如,武学,FALSE
18,内家,1,Self,内功潜力+5;内功+5,内家,,1,0,内功30,,武学,TRUE
19,内力精纯,2,Self,内功潜力+10;内功+10,内家,,1,0,内功60+天赋:内家,内家,武学,TRUE
20,炉火纯青,4,Self,内功潜力+15;内功+15,内家,,1,0,内功90+天赋:内力精纯,内力精纯,武学,FALSE
21,轻功,1,Self,轻功潜力+5;轻功+5,轻功,,1,0,轻功30,,武学,TRUE
22,飞檐走壁,2,Self,轻功潜力+10;轻功+10,轻功,,1,0,轻功60+天赋:轻功,轻功,武学,TRUE
23,神出鬼没,4,Self,轻功潜力+15;轻功+15,轻功,,1,0,轻功90+天赋:飞檐走壁,飞檐走壁,武学,FALSE
24,绝技,1,Self,绝技潜力+5;绝技+5,绝技,,1,0,绝技30,,武学,TRUE
25,身怀绝技,2,Self,绝技潜力+10;绝技+10,绝技,,1,0,绝技60+天赋:绝技,绝技,武学,TRUE
26,绝艺超群,4,Self,绝技潜力+15;绝技+15,绝技,,1,0,绝技90+天赋:身怀绝技,身怀绝技,武学,FALSE
27,拳掌,1,Self,拳掌潜力+5;拳掌+5,拳掌,,1,0,拳掌30,,武学,TRUE
28,拳不离手,2,Self,拳掌潜力+10;拳掌+10,拳掌,,1,0,拳掌60+天赋:拳掌,拳掌,武学,TRUE
29,铁手钢拳,4,Self,拳掌潜力+15;拳掌+15,拳掌,,1,0,拳掌90+天赋:拳不离手,拳不离手,武学,FALSE
30,御剑,1,Self,剑法潜力+5;剑法+5,御剑,,1,0,剑法30,,武学,TRUE
31,剑随意动,2,Self,剑法潜力+10;剑法+10,御剑,,1,0,剑法60+天赋:御剑,御剑,武学,TRUE
32,人剑合一,4,Self,剑法潜力+15;剑法+15,御剑,,1,0,剑法90+天赋:剑随意动,剑随意动,武学,FALSE
33,耍刀,1,Self,刀法潜力+5;刀法+5,耍刀,,1,0,刀法30,,武学,TRUE
34,横刀跃马,2,Self,刀法潜力+10;刀法+10,耍刀,,1,0,刀法60+天赋:耍刀,耍刀,武学,TRUE
35,一刀两断,4,Self,刀法潜力+15;刀法+15,耍刀,,1,0,刀法90+天赋:横刀跃马,横刀跃马,武学,FALSE
