序号,特效,数值1%,正面词缀,负面词缀,百分比显示,非随机特效,必须随机正数,持续时间,自身持续特效,描述,特效价值类别,不自动升级,触发时机,计算战斗分,特殊介绍
0,力道,1,巨力,无力,0,0,0,0,0,+0.5%暴击\n+0.5%断连\n+1装备负重,伤害,0,0,0,0
1,灵巧,1,巧捷,笨拙,0,0,0,0,0,+0.5%速度\n+0.5%闪避\n+0.5体力上限,伤害,0,0,0,0
2,智力,1,慧根,愚钝,0,0,0,0,0,+0.5%命中\n+0.5%卸力\n+0.5%负面加成,伤害,0,0,0,0
3,意志,1,勇毅,萎靡,0,0,0,0,0,+0.5%反击\n+0.5%护甲\n+0.5%负面抗性,伤害,0,0,0,0
4,体质,1,壮硕,瘦弱,0,0,0,0,0,+1生命上限\n+0.5%压制\n+0.5%伤势抗性,伤害,0,0,0,0
5,经脉,1,贯通,断绝,0,0,0,0,0,+2内力上限\n+0.5%连击\n+0.5%恢复效率,伤害,0,0,0,0
6,内功,1,内家,空乏,0,0,0,0,0,+1%内力上限,伤害,0,0,0,0
7,轻功,1,迅疾,迟慢,0,0,0,0,0,+1%速度,伤害,0,0,0,0
8,绝技,1,独门,庸凡,0,0,0,0,0,+1%生命上限,伤害,0,0,0,0
9,拳掌,1,钢拳,残拳,0,0,0,0,0,提升拳掌伤害\n降低受到的拳掌伤害,伤害,0,0,0,0
10,剑法,1,利剑,锈剑,0,0,0,0,0,提升剑法伤害\n降低受到的剑法伤害,伤害,0,0,0,0
11,刀法,1,宝刀,钝刀,0,0,0,0,0,提升刀法伤害\n降低受到的刀法伤害,伤害,0,0,0,0
12,长兵,1,银枪,断枪,0,0,0,0,0,提升长兵伤害\n降低受到的长兵伤害,伤害,0,0,0,0
13,奇门,1,奇异,无奇,0,0,0,0,0,提升奇门伤害\n降低受到的奇门伤害,伤害,0,0,0,0
14,射术,1,远射,咫尺,0,0,0,0,0,提升射术伤害\n降低受到的射术伤害,伤害,0,0,0,0
15,内功威力,0.01,无,无,1,1,0,0,0,内功威力,伤害,0,0,1,0
16,轻功威力,0.01,无,无,1,1,0,0,0,轻功威力,伤害,0,0,1,0
17,绝技威力,0.01,无,无,1,1,0,0,0,绝技威力,伤害,0,0,1,0
18,拳掌威力,0.01,无,无,1,1,0,0,0,拳掌威力,伤害,0,0,1,0
19,剑法威力,0.01,无,无,1,1,0,0,0,剑法威力,伤害,0,0,1,0
20,刀法威力,0.01,无,无,1,1,0,0,0,刀法威力,伤害,0,0,1,0
21,长兵威力,0.01,无,无,1,1,0,0,0,长兵威力,伤害,0,0,1,0
22,奇门威力,0.01,无,无,1,1,0,0,0,奇门威力,伤害,0,0,1,0
23,射术威力,0.01,无,无,1,1,0,0,0,射术威力,伤害,0,0,1,0
24,医术,1,无,无,0,1,0,0,0,影响治疗外伤/内伤的效率,伤害,0,0,0,0
25,毒术,1,无,无,0,1,0,0,0,影响用毒/解毒的效率,伤害,0,0,0,0
26,学识,1,无,无,0,1,0,0,0,影响珍宝鉴定，论战，编纂秘籍，获取门派威望的效率,伤害,0,0,0,0
27,口才,1,无,无,0,1,0,0,0,影响交易价格，论战，获取门派银钱的效率,伤害,0,0,0,0
28,采伐,1,无,无,0,1,0,0,0,影响获取门派木料/矿石，破坏区域防御的效率,伤害,0,0,0,0
29,木植,1,无,无,0,1,0,0,0,影响获取门派粮食/药材，巩固区域防御的效率,伤害,0,0,0,0
30,锻造,1,无,无,0,1,0,0,0,影响装备制作/强化，巩固/破坏区域治安的效率,伤害,0,0,0,0
31,炼药,1,无,无,0,1,0,0,0,影响丹药制作/强化，巩固/破坏区域人口的效率,伤害,0,0,0,0
32,烹饪,1,无,无,0,1,0,0,0,影响饮食制作/强化，巩固/破坏区域民心的效率,伤害,0,0,0,0
33,力道潜力,1,无,无,0,1,0,0,0,力道潜力,伤害,0,0,0,0
34,灵巧潜力,1,无,无,0,1,0,0,0,灵巧潜力,伤害,0,0,0,0
35,智力潜力,1,无,无,0,1,0,0,0,智力潜力,伤害,0,0,0,0
36,意志潜力,1,无,无,0,1,0,0,0,意志潜力,伤害,0,0,0,0
37,体质潜力,1,无,无,0,1,0,0,0,体质潜力,伤害,0,0,0,0
38,经脉潜力,1,无,无,0,1,0,0,0,经脉潜力,伤害,0,0,0,0
39,内功潜力,1,无,无,0,1,0,0,0,内功潜力,伤害,0,0,0,0
40,轻功潜力,1,无,无,0,1,0,0,0,轻功潜力,伤害,0,0,0,0
41,绝技潜力,1,无,无,0,1,0,0,0,绝技潜力,伤害,0,0,0,0
42,拳掌潜力,1,无,无,0,1,0,0,0,拳掌潜力,伤害,0,0,0,0
43,剑法潜力,1,无,无,0,1,0,0,0,剑法潜力,伤害,0,0,0,0
44,刀法潜力,1,无,无,0,1,0,0,0,刀法潜力,伤害,0,0,0,0
45,长兵潜力,1,无,无,0,1,0,0,0,长兵潜力,伤害,0,0,0,0
46,奇门潜力,1,无,无,0,1,0,0,0,奇门潜力,伤害,0,0,0,0
47,射术潜力,1,无,无,0,1,0,0,0,射术潜力,伤害,0,0,0,0
48,医术潜力,1,无,无,0,1,0,0,0,医术潜力,伤害,0,0,0,0
49,毒术潜力,1,无,无,0,1,0,0,0,毒术潜力,伤害,0,0,0,0
50,学识潜力,1,无,无,0,1,0,0,0,学识潜力,伤害,0,0,0,0
51,口才潜力,1,无,无,0,1,0,0,0,口才潜力,伤害,0,0,0,0
52,采伐潜力,1,无,无,0,1,0,0,0,采伐潜力,伤害,0,0,0,0
53,木植潜力,1,无,无,0,1,0,0,0,木植潜力,伤害,0,0,0,0
54,锻造潜力,1,无,无,0,1,0,0,0,锻造潜力,伤害,0,0,0,0
55,炼药潜力,1,无,无,0,1,0,0,0,炼药潜力,伤害,0,0,0,0
56,烹饪潜力,1,无,无,0,1,0,0,0,烹饪潜力,伤害,0,0,0,0
57,生命上限,2,长生,短命,0,0,0,0,0,生命上限,伤害,0,0,1,0
58,体力上限,5,焕发,疲敝,0,0,0,0,0,体力上限,伤害,0,0,1,0
59,内力上限,4,充盈,空虚,0,0,0,0,0,内力上限,伤害,0,0,1,0
60,伤害,0.01,强攻,羸弱,1,0,0,0,0,造成伤害,伤害,0,1,1,0
61,护甲,0.5,铁壁,摧折,0,0,0,0,0,降低所受伤害,伤害,0,2,1,0
62,护甲率,0.01,重甲,弱甲,1,0,0,0,0,百分比提升护甲,伤害,0,2,1,0
63,速度,0.01,轻快,笨重,1,0,0,0,0,行动速度,伤害,0,0,1,0
64,命中,0.01,精准,模糊,1,0,0,0,0,命中概率,伤害,0,1,1,0
65,闪避,0.01,闪转,支拙,1,0,0,0,0,躲闪攻击,伤害,0,2,1,0
66,暴击,0.01,凶暴,优柔,1,0,0,0,0,伤害加倍,伤害,0,1,1,1
67,卸力,0.01,卸力,受力,1,0,0,0,0,伤害减半,伤害,0,2,1,1
68,反击,0.01,藏锋,尽出,1,0,0,0,0,行动条加倍,伤害,0,2,1,1
69,压制,0.01,泰山,鸿毛,1,0,0,0,0,行动条减半,伤害,0,1,1,1
70,连击,0.01,追击,磕绊,1,0,0,0,0,再次攻击,伤害,0,1,1,1
71,断连,0.01,断腕,顺受,1,0,0,0,0,打断连击,伤害,0,2,1,1
72,经验获取,0.01,广博,浅陋,1,0,0,0,0,增加获取的经验,伤害,0,0,0,0
73,恢复效率,0.01,丰沛,枯竭,1,0,0,0,0,增强恢复的效果,伤害,0,0,1,0
74,伤害抗性,0.01,无,无,1,1,0,0,0,降低所受伤害,伤害,0,2,1,0
75,负面加成,0.01,险恶,平坦,1,0,0,0,0,增加施加负面效果的概率,我方,0,1,1,1
76,负面抗性,0.01,坚定,动摇,1,0,0,0,0,降低受到负面效果的概率,我方,0,2,1,1
77,伤势抗性,0.01,乌皮,薄皮,1,0,0,0,0,减少所受伤势,我方,0,2,1,0
78,失衡,0.01,颠簸,无,1,0,1,0,0,行动条-30%;体力-20,敌方,0,1,1,1
79,急速,0.01,白驹,无,1,0,1,0,0,行动条+30%;体力+20,我方,0,1,1,1
80,外伤,0.01,无,无,1,1,1,0,0,根据生命差造成外伤,伤害,0,1,1,1
81,内伤,0.01,无,无,1,1,1,0,0,根据内力差造成内伤,伤害,0,1,1,1
82,毒素,0.01,无,无,1,1,1,0,0,根据毒术差造成中毒,伤害,0,1,1,1
83,吸血,0.01,无,无,1,1,1,0,0,吸取生命,伤害,0,1,1,1
84,吸内,0.02,无,无,1,1,1,0,0,吸取内力,伤害,0,1,1,1
85,削内,0.04,无,无,1,1,1,0,0,削除内力,伤害,0,1,1,1
86,恢复,0.01,滋养,无,1,0,1,2,1,每回合恢复5%生命内力,我方,0,1,1,1
87,灼烧,0.01,阳炎,无,1,0,1,2,0,每回合减少5%生命内力,敌方,0,1,1,1
88,疗伤,0.01,回春,无,1,0,1,3,1,每回合恢复5%生命,我方,0,1,1,1
89,流血,0.01,重创,无,1,0,1,3,0,每回合减少5%生命,敌方,0,1,1,1
90,调息,0.01,蕴气,无,1,0,1,3,1,每回合恢复10%内力,我方,0,1,1,1
91,雷电,0.01,掣电,无,1,0,1,3,0,每回合减少10%内力,敌方,0,1,1,1
92,蓄力,0.01,厚积,无,1,0,1,2,1,每回合恢复15点体力,我方,0,1,1,1
93,疲劳,0.01,力竭,无,1,0,1,2,0,每回合减少15点体力,敌方,0,1,1,1
94,冰寒,0.01,阴寒,无,1,0,1,-1,0,速度/恢复效率-30%,敌方,0,1,1,1
95,无敌,0.005,不败,无,1,0,1,1,1,无视所有伤害,我方,0,2,1,1
