ID,名称,描述,等级,速度,耐力,冲刺,抗性,价值
0,骡子,马和驴杂交而成，体质结实，肢蹄强健，多见于民间,0,10,15,10,15,200
1,驴子,四肢瘦弱，躯干短小的畜类，速度缓慢但刻苦耐劳,0,5,20,5,20,200
2,跛脚马,腿脚受过伤或是天生残疾的马匹，胜在价格便宜,0,10,20,10,10,200
3,小马,天生体型弱小的马匹，令人几乎不忍骑乘,0,15,10,15,10,200
4,劣马,品质拙劣且难以驾驭的马匹，往往是马贩子的淘汰品,0,15,15,15,5,200
5,矮马,天生体型低矮的马匹，骑乘后双脚几乎不离地面,0,20,20,5,5,200
6,驮马,专用于货运的马匹，由于常年负重，多有慢性病,0,15,15,5,15,200
7,瘦马,天生体型瘦削的马匹，常年营养不良导致肋骨根根分明,0,25,10,10,5,200
8,大马,体质强健的高头大马，武林人士常用,1,20,30,20,30,400
9,烈马,性格爆裂，难以驾驭的马匹，狂奔时速度极快,1,45,10,35,10,400
10,军马,军中所用的马匹，速度与耐久较为均衡,1,30,25,25,20,400
11,快马,信差和驿站常用的马匹，以快速见长,1,40,15,40,5,400
12,战马,骑兵所用冲锋陷阵之马匹，性能优良，坚忍不拔,1,35,20,30,15,400
13,河曲马,黄河盘曲上游草原上所产马种，体格健硕，农用或军用皆可,1,20,35,15,30,400
14,西南马,云贵川地区所产马种，体型较小，善于穿越复杂地形,1,25,25,25,25,400
15,山地马,山区所产，极为矮小的马种，其耐力持久，擅长翻山越岭,1,15,30,20,35,400
16,蒙古马,产于蒙古草原的优良马种，体格不大，但极为勇猛健壮,2,40,40,35,35,800
17,哈萨克马,产于新疆的草原马，体格中等，性能均衡，是许多西北优良马种的祖先,2,25,55,20,50,800
18,伊犁马,以哈萨克马为基础杂交而成，体格高大，身形匀称，且禀性灵敏,2,35,45,30,40,800
19,乌孙马,产于西域乌孙国的一种良马，汉武帝称之为天马,2,30,50,40,30,800
20,五花马,将鬃毛修剪成五瓣作为装饰的骏马,2,35,35,40,40,800
21,白兔马,静若处子，动若突兔之白马，深得少年侠士之喜爱,2,50,30,45,25,800
22,枣红马,遍体枣红色的马匹，性格温驯，极为吃苦耐劳,2,25,60,20,45,800
23,绿耳马,青黄色的骏马，传说其先祖曾为周穆王驾车驱使,2,45,25,50,30,800
24,白义马,带有淡淡铁灰色的俊美白马，传说其先祖曾为周穆王驾车驱使,3,50,50,50,50,1600
25,青骓马,苍白杂色骏马，其冲刺速度迅猛异常，先祖亦曾随唐太宗征战一时,3,40,60,60,40,1600
26,华骝马,黄中带红的骏马，其祖先亦是为周穆王驾车的八骏之一,3,45,55,65,35,1600
27,黄骠马,此马遍体黄毛中带有白点，头有白毛，状如满月，是难得一遇的宝马良驹,3,55,65,35,45,1600
28,骕骦马,此马色如霜纨，形如秋雁，毛发如白练，高首而脩颈，气质如霜，寒气逼人,3,65,45,55,35,1600
29,玉花骢,毛色青白相杂，身形优雅健美之骏马，堪称马中之美人也,3,60,30,60,50,1600
30,奔宵马,遍体漆黑之骏马，传说其先祖可夜行万里,3,75,35,50,40,1600
31,纤离马,体型纤细之骏马，其奔驰速度快若闪电，极为迅捷,3,70,40,70,20,1600
32,乌骓马,毛色如绸缎般柔亮，体格极为健壮的黑马，霸王项羽曾骑着这种战马征伐四方,4,45,70,60,75,3200
33,白蹄乌,有四只白蹄的纯黑色骏马，其先祖位列唐太宗六骏，被赞为倚天长剑，追风骏足,4,70,60,50,70,3200
34,什伐赤,产自波斯的赤红骏马，其先祖曾随唐太宗征战虎牢关，身中五箭而亡,4,50,75,55,70,3200
35,拳毛驹,黄皮黑嘴，身布连环旋毛，世人多以为丑，然而其矫健善走，蹄大快程，不可以貌取之,4,75,65,45,65,3200
36,斑豹马,周身斑点如豹纹的马匹，其速度与爆发力均有虎豹之威,4,80,50,70,50,3200
37,赤骥马,毛色赤红的骏马，传说其祖先在周穆王八骏之中最得恩宠,4,65,55,65,65,3200
38,麒麟兽,身形矫健，勇猛无比的骏马，其奔驰时周身鬃毛飘逸，如同麒麟降世一般,4,55,80,40,75,3200
39,照夜白,遍体雪白的骏马，在夜间疾驰时化作一道白练，所过之处好似被照亮一般,4,60,85,75,30,3200
40,汗血马,大宛百里挑一的珍贵名马，因奔跑后流汗如血而得名，爱马之人视之如至宝,5,80,80,80,60,6400
41,赤兔马,遍体火红，体型庞大之骏马，冲锋时势大力猛，如烈火燎原，堪称马中王者,5,90,70,85,55,6400
42,的卢马,速度迅捷，跳跃冲刺能力亦极为惊人的名马，传说其先祖曾背负刘备越过阔数丈的檀溪,5,75,60,95,70,6400
43,绝影马,风驰电掣，连影子亦追随不及之快马，传说曹操曾骑其先祖逃脱重围,5,85,75,75,65,6400
44,特勒骠,应策腾空，承声半汉，入险摧敌，乘危济难，其先祖乃突厥名马，作为贡品随唐太宗征战多年,5,65,90,65,80,6400
45,神凫马,传说祖先乃秦始皇座下名马，为求仙药随其东巡，过名川大山如飞履平地,5,95,50,70,85,6400
46,飒露紫,紫燕超跃，骨腾神骏，气詟三川，威凌八阵，其先祖曾为救唐太宗于重围之中而殒命，可谓忠勇过人,5,60,85,80,75,6400
47,白龙驹,遍体白毛，神采秀逸之骏马，其奔腾若风雷，世人皆以为是白龙所化,5,70,95,60,75,6400
