id,名字,行事风格,等级,门派地点ID,颜色,特殊武功,特殊好感设定,男性比例,武功专长,技艺专长,特色物品,大帮派,自动补充弟子,默认皮肤,门派特性
0,长乐帮,中庸,3,30,53defd,,,0.35,轻功;刀法;射术,口才,珍宝:1.5,1,1,0,<b>痛饮</b>：消耗美酒获取对应长效加成。与他人对饮无好感要求，对饮耗内-20%，对饮好感+20%。\n<b>豪赌</b>：随时进行赌博并获取额外好感，每月可赌博次数翻倍，下注数额翻倍。\n<b>销金</b>：在销金库可用门派功绩兑换高品质珍宝。
1,唐门,霸业,4,31,9f61e5,,,0.5,绝技;射术;刀法,毒术,材料:1.5,1,1,1,<b>暗器</b>：暗室研究射术兵器，提升射术威力。\n<b>杀手</b>：在暗室可领取杀手订单。袭击他人和痛下狠手的恶名-60%，被官兵抓捕时可轻功躲避。
2,药王谷,中庸,4,32,b57d4c,,,0.5,内功;拳掌;射术,医术;炼药,丹药:2,1,1,2,<b>行医</b>：治疗他人不限好感和次数，每月坐诊次数翻倍，所有治疗好感+20%并获得额外声望。\n<b>妙药</b>：炼药效率+20%且可以选用多个药引，炮制强化丹药的所有需求-50%。\n<b>灵谷</b>：在万花谷可用门派功绩兑换高品质药引。
3,丐帮,仁义,5,33,e1bf6e,,,0.5,拳掌;长兵;绝技,口才;烹饪,饮食:2,1,1,3,<b>铁掌</b>：大会台研究拳掌兵器，提升拳掌威力。\n<b>行乞</b>：可消耗声望向他人乞讨银两。索取他人物品消耗好感-40%。
4,飞龙门,中庸,4,34,fdf553,,,0.6,绝技;长兵;刀法,采伐,马匹:2,1,1,4,<b>枪术</b>：赛马场研究长兵兵器，提升长兵威力。\n<b>马术</b>：马匹驯服速率+20%，冲刺驯服度消耗-20%。每1%驯服度提升马匹全属性0.2%。
5,茅山派,中庸,5,35,dafaf7,,,0.5,绝技;奇门;剑法,炼药,丹药:1.5,1,1,5,<b>符法</b>：修习符咒武学解锁对应符法，用符法在战前强化己方角色/弱化对方角色。\n<b>天雷</b>：每满级一门雷电武学，根据武学品级额外提升0.5/1/1.5/2/2.5/3点意志。\n<b>丹引</b>：在华阳洞可炼化丹药获取对应药引。
6,铸剑山庄,中庸,3,36,8ff2f4,,,0.5,剑法;绝技;刀法,采伐;锻造,装备:2,1,1,6,<b>天工</b>：在探索中搜集陨铁碎片，在剑池对装备进行额外强化操作。\n<b>巧匠</b>：锻造效率+20%且可以选用多个材料，在剑池可拆解装备获取对应材料。
7,五毒教,霸业,5,37,b46da6,,,0.5,奇门;绝技;拳掌,木植;毒术,珍宝:1,1,1,7,<b>炼蛊</b>：在万毒池消耗药引/食材获取毒物，融合低级毒物获取强力高级毒物。\n<b>毒术</b>：用毒可以选用多个毒物，装备淬毒下降速率-25%。
8,阎罗殿,霸业,6,38,960E0A,,,0.5,内功;刀法;绝技;拳掌,采伐,装备:1,1,1,8,<b>试炼</b>：挑战难度不断提升的鬼门关试炼，获取逐渐增强的天赋效果。\n<b>霸道</b>：抢夺他人和商店物品的恶名-40%，被官兵抓捕时可以绝技硬闯。
9,大隐阁,中庸,6,39,c5dff5,,,0.5,内功;轻功;奇门;剑法,学识;口才,珍宝:2,1,1,9,<b>博引</b>：搜集其他门派秘籍放入星辰阁，获取对应武学加成。\n<b>旁证</b>：论战手牌上限+3，论战胜利获取强化特效和额外好感。秘籍编纂的技能要求-10%。
10,少林寺,仁义,6,40,ffb861,,,1,内功;绝技;长兵;拳掌,医术,秘籍:1,1,1,10,<b>禅宗</b>：通过禅宗修行获取少林寺武学加成。\n<b>普度</b>：教化野外恶徒或其他侠士，将他人立场向戒律仁慈改变，并提升好感和声望。
11,武当派,仁义,5,41,a0e15f,,,0.5,内功;绝技;剑法;拳掌,木植;炼药,秘籍:0.75,1,1,11,<b>道法</b>：通过道法修行获取武当派武学加成。\n<b>无为</b>：教化野外恶徒或其他侠士，将他人立场向平常中立改变，并提升好感和声望。
12,霸刀门,中庸,3,42,c36328,,,0.6,刀法;长兵;绝技,烹饪,饮食:1,1,1,12,<b>试刀</b>：试刀台研究刀法兵器，提升刀法威力。\n<b>老饕</b>：烹饪效率+20%且可以选用多个食材，消耗佳肴时获取对应长效加成。
